Order_ID,Order_Date,Region,Segment,Category,Sub_Category,Sales,Quantity,Discount,Profit,Shipping_Cost,Customer_Rating
ORD-2024057,2023-02-27,East,Consumer,Technology,Laptops,36.01,8,0.3,51.66,7.06,3
ORD-2024058,2023-02-28,South,Corporate,Technology,Smartphones,200.46,1,0.0,37.52,24.18,4
ORD-2024059,2023-03-01,West,Consumer,Technology,Accessories,651.36,6,0.0,1083.37,36.48,3
ORD-2024060,2023-03-02,North,Consumer,Furniture,Tables,736.81,7,0.1,1291.04,39.22,5
ORD-2024061,2023-03-03,North,Consumer,Office Supplies,Storage,82.6,6,0.5,16.56,15.45,4
ORD-2024062,2023-03-04,East,Corporate,Office Supplies,Appliances,277.1,5,0.0,431.17,26.63,4
ORD-2024063,2023-03-05,North,Corporate,Furniture,Chairs,395.57,5,0.1,287.14,34.71,4
ORD-2024064,2023-03-06,South,Consumer,Furniture,Bookcases,101.42,9,0.0,187.58,13.35,4
ORD-2024065,2023-03-07,East,Home Office,Furniture,Tables,80.76,8,0.15,132.89,8.7,4
ORD-2024066,2023-03-08,East,Corporate,Technology,Laptops,555.12,6,0.1,803.04,37.53,4
ORD-2024067,2023-03-09,South,Corporate,Technology,Tablets,105.8,1,0.2,-0.16,19.56,3
ORD-2024068,2023-03-10,South,Consumer,Technology,Tablets,126.15,3,0.15,36.55,10.49,4
ORD-2024069,2023-03-11,North,Corporate,Furniture,Bookcases,47.67,1,0.0,10.64,13.94,5
ORD-2024070,2023-03-12,West,Corporate,Office Supplies,Storage,425.36,3,0.2,163.41,23.7,4
ORD-2024071,2023-03-13,South,Consumer,Furniture,Tables,220.02,4,0.15,127.28,22.95,1
ORD-2024072,2023-03-14,East,Consumer,Furniture,Tables,239.61,1,0.0,39.56,21.87,5
ORD-2024073,2023-03-15,South,Corporate,Furniture,Furnishings,148.89,1,0.0,28.34,17.61,5
ORD-2024074,2023-03-16,North,Home Office,Furniture,Furnishings,727.63,4,0.1,512.01,40.84,4
ORD-2024075,2023-03-17,West,Corporate,Technology,Accessories,298.18,5,0.15,295.35,23.36,2
ORD-2024076,2023-03-18,North,Consumer,Furniture,Bookcases,580.97,5,0.15,627.56,39.36,4
ORD-2024077,2023-03-19,East,Consumer,Furniture,Chairs,712.42,4,0.1,827.78,46.99,4
ORD-2024078,2023-03-20,East,Consumer,Office Supplies,Paper,962.11,7,0.2,1302.93,53.85,3
ORD-2024079,2023-03-21,South,Consumer,Technology,Laptops,279.53,8,0.1,339.92,16.1,4
ORD-2024080,2023-03-22,North,Consumer,Office Supplies,Binders,97.54,3,0.0,97.08,17.48,3
ORD-2024081,2023-03-23,East,Corporate,Furniture,Chairs,770.23,6,0.0,730.94,51.36,4
ORD-2024082,2023-03-24,North,Home Office,Furniture,Furnishings,354.02,9,0.5,398.73,25.18,3
ORD-2024083,2023-03-25,North,Consumer,Furniture,Furnishings,75.85,5,0.2,48.96,15.98,2
ORD-2024084,2023-03-26,South,Home Office,Office Supplies,Storage,189.27,2,0.15,54.4,23.59,4
ORD-2024085,2023-03-27,North,Home Office,Technology,Accessories,221.12,4,0.5,17.37,14.21,5
ORD-2024086,2023-03-28,South,Consumer,Technology,Tablets,197.12,9,0.0,306.17,23.09,3
ORD-2024087,2023-03-29,South,Corporate,Technology,Tablets,747.49,3,0.0,449.51,43.07,2
ORD-2024088,2023-03-30,East,Corporate,Technology,Laptops,158.05,8,0.1,268.48,14.85,4
ORD-2024089,2023-03-31,West,Corporate,Office Supplies,Paper,44.39,1,0.3,-2.7,8.35,3
ORD-2024090,2023-04-01,South,Consumer,Technology,Laptops,1225.48,7,0.15,1596.44,66.53,4
ORD-2024091,2023-04-02,East,Home Office,Furniture,Chairs,27.89,7,0.0,47.15,6.8,2
ORD-2024092,2023-04-03,North,Consumer,Furniture,Furnishings,39.71,2,0.0,24.59,6.51,3
ORD-2024093,2023-04-04,North,Consumer,Technology,Smartphones,148.79,3,0.0,85.36,9.7,4
ORD-2024094,2023-04-05,East,Consumer,Technology,Tablets,351.85,9,0.0,542.92,30.55,5
ORD-2024095,2023-04-06,South,Corporate,Office Supplies,Storage,3463.1,1,0.1,431.51,176.76,4
ORD-2024096,2023-04-07,West,Consumer,Technology,Smartphones,787.63,9,0.0,1725.21,44.16,4
ORD-2024097,2023-04-08,West,Consumer,Furniture,Chairs,99.79,5,0.15,67.69,10.39,4
ORD-2024098,2023-04-09,South,Corporate,Office Supplies,Binders,1069.68,6,0.0,1055.37,64.3,2
ORD-2024099,2023-04-10,West,Consumer,Furniture,Tables,192.53,7,0.0,346.36,16.68,4
ORD-2024100,2023-04-11,South,Consumer,Furniture,Tables,1279.63,4,0.0,952.39,66.35,5
ORD-2024101,2023-04-12,East,Home Office,Technology,Accessories,319.92,9,0.0,723.93,26.79,3
ORD-2024102,2023-04-13,West,Corporate,Furniture,Furnishings,345.46,4,0.15,211.3,26.92,3
ORD-2024103,2023-04-14,North,Consumer,Technology,Smartphones,1130.21,1,0.15,156.48,67.79,4
ORD-2024104,2023-04-15,North,Consumer,Office Supplies,Paper,731.23,4,0.0,451.39,39.13,3
ORD-2024105,2023-04-16,West,Corporate,Technology,Accessories,414.7,9,0.0,1042.39,32.18,5
ORD-2024106,2023-04-17,North,Consumer,Technology,Laptops,600.3,5,0.15,819.98,41.1,3
ORD-2024107,2023-04-18,West,Corporate,Technology,Accessories,358.22,1,0.0,103.59,21.99,2
ORD-2024108,2023-04-19,East,Home Office,Office Supplies,Paper,153.19,4,0.1,141.86,11.57,4
ORD-2024109,2023-04-20,South,Corporate,Technology,Tablets,23.01,2,0.1,6.46,13.9,3
ORD-2024110,2023-04-21,South,Consumer,Office Supplies,Appliances,221.53,4,0.5,44.52,13.67,5
ORD-2024111,2023-04-22,North,Corporate,Office Supplies,Appliances,711.41,7,0.15,625.71,42.37,2
ORD-2024112,2023-04-23,West,Consumer,Office Supplies,Appliances,51.84,3,0.1,41.53,12.46,3
ORD-2024113,2023-04-24,South,Corporate,Technology,Laptops,58.63,3,0.15,35.95,15.79,5
ORD-2024114,2023-04-25,West,Consumer,Office Supplies,Binders,633.75,8,0.5,550.7,33.79,4
ORD-2024115,2023-04-26,West,Consumer,Office Supplies,Appliances,97.51,8,0.2,161.67,13.54,3
ORD-2024116,2023-04-27,West,Consumer,Technology,Smartphones,20.34,1,0.15,0.64,10.46,5
ORD-2024117,2023-04-28,East,Consumer,Office Supplies,Paper,167.47,7,0.2,208.54,21.18,5
ORD-2024118,2023-04-29,North,Corporate,Office Supplies,Appliances,199.59,8,0.2,333.91,20.19,5
ORD-2024119,2023-04-30,East,Consumer,Technology,Tablets,392.25,8,0.1,702.8,24.79,2
ORD-2024120,2023-05-01,North,Corporate,Technology,Tablets,229.35,1,0.0,36.75,22.92,4
ORD-2024121,2023-05-02,North,Corporate,Office Supplies,Binders,1264.76,5,0.15,1466.41,66.88,4
ORD-2024122,2023-05-03,East,Consumer,Office Supplies,Appliances,53.4,3,0.1,22.73,16.86,2
ORD-2024123,2023-05-04,East,Consumer,Technology,Tablets,110.3,5,0.3,54.89,8.49,3
ORD-2024124,2023-05-05,South,Corporate,Furniture,Bookcases,353.2,5,0.2,179.84,27.34,3
ORD-2024125,2023-05-06,West,Home Office,Technology,Laptops,1814.34,9,0.3,3378.04,105.45,3
ORD-2024126,2023-05-07,South,Consumer,Technology,Accessories,40.28,2,0.1,16.13,5.45,4
ORD-2024127,2023-05-08,West,Consumer,Furniture,Chairs,379.6,3,0.0,172.39,28.37,1
ORD-2024128,2023-05-09,West,Corporate,Technology,Tablets,379.24,6,0.0,651.48,25.05,5
ORD-2024129,2023-05-10,West,Home Office,Furniture,Bookcases,713.85,9,0.1,898.19,46.33,1
ORD-2024130,2023-05-11,North,Corporate,Technology,Tablets,451.37,7,0.2,646.54,33.21,4
ORD-2024131,2023-05-12,North,Home Office,Technology,Smartphones,1132.51,7,0.1,1541.86,65.66,4
ORD-2024132,2023-05-13,East,Corporate,Technology,Accessories,90.81,3,0.15,67.74,19.32,4
ORD-2024133,2023-05-14,South,Home Office,Office Supplies,Paper,84.55,7,0.3,45.41,12.87,4
ORD-2024134,2023-05-15,North,Consumer,Technology,Laptops,123.39,5,0.2,149.87,19.28,5
ORD-2024135,2023-05-16,North,Consumer,Furniture,Tables,291.65,3,0.0,139.34,16.93,4
ORD-2024136,2023-05-17,East,Corporate,Furniture,Furnishings,44.6,3,0.0,43.2,16.91,2
ORD-2024137,2023-05-18,South,Corporate,Technology,Tablets,131.79,2,0.5,-26.84,15.99,4
ORD-2024138,2023-05-19,South,Corporate,Office Supplies,Appliances,617.92,3,0.2,140.23,40.92,3
ORD-2024139,2023-05-20,East,Consumer,Technology,Smartphones,118.41,4,0.3,70.55,18.05,3
ORD-2024140,2023-05-21,West,Home Office,Furniture,Furnishings,366.83,6,0.1,368.81,23.26,1
ORD-2024141,2023-05-22,North,Consumer,Technology,Laptops,54.13,3,0.2,16.98,9.25,4
ORD-2024142,2023-05-23,North,Home Office,Office Supplies,Binders,85.33,4,0.0,112.68,17.74,5
ORD-2024143,2023-05-24,East,Corporate,Office Supplies,Appliances,86.97,5,0.0,93.67,18.25,5
ORD-2024144,2023-05-25,East,Consumer,Furniture,Tables,836.07,9,0.2,1165.48,52.11,5
ORD-2024145,2023-05-26,West,Corporate,Technology,Tablets,26.79,6,0.1,27.92,13.76,2
ORD-2024146,2023-05-27,North,Consumer,Office Supplies,Storage,307.09,3,0.0,147.39,19.76,3
ORD-2024147,2023-05-28,West,Consumer,Furniture,Tables,255.54,7,0.0,291.34,20.98,4
ORD-2024148,2023-05-29,East,Home Office,Technology,Accessories,50.55,3,0.0,42.85,16.17,5
ORD-2024149,2023-05-30,South,Corporate,Office Supplies,Paper,300.69,1,0.15,51.61,26.75,3
ORD-2024150,2023-05-31,East,Consumer,Technology,Laptops,310.18,6,0.2,254.71,21.59,3
ORD-2024151,2023-06-01,North,Consumer,Office Supplies,Paper,25.78,9,0.1,46.47,10.11,3
ORD-2024152,2023-06-02,East,Consumer,Technology,Tablets,197.21,1,0.1,20.07,16.78,3
ORD-2024153,2023-06-03,North,Home Office,Office Supplies,Storage,192.09,9,0.15,363.39,12.36,5
ORD-2024154,2023-06-04,South,Corporate,Technology,Accessories,164.17,4,0.3,52.84,10.62,5
ORD-2024155,2023-06-05,East,Home Office,Furniture,Chairs,84.39,5,0.3,80.85,13.25,4
ORD-2024156,2023-06-06,South,Corporate,Office Supplies,Appliances,433.61,5,0.0,503.3,36.18,3
ORD-2024157,2023-06-07,West,Home Office,Office Supplies,Storage,1164.66,3,0.0,865.08,69.49,4
ORD-2024158,2023-06-08,East,Consumer,Technology,Smartphones,730.33,5,0.0,1269.93,46.94,4
ORD-2024159,2023-06-09,West,Consumer,Office Supplies,Binders,216.65,3,0.5,-8.24,15.4,4
ORD-2024160,2023-06-10,South,Corporate,Furniture,Tables,551.18,6,0.0,640.62,38.3,4
ORD-2024161,2023-06-11,North,Home Office,Office Supplies,Binders,73.36,2,0.0,50.56,12.53,4
ORD-2024162,2023-06-12,South,Consumer,Furniture,Bookcases,1107.83,9,0.0,2389.45,64.06,5
ORD-2024163,2023-06-13,West,Corporate,Technology,Tablets,246.94,5,0.5,62.97,20.62,3
ORD-2024164,2023-06-14,West,Consumer,Furniture,Furnishings,283.34,4,0.0,374.82,23.88,5
ORD-2024165,2023-06-15,North,Corporate,Furniture,Furnishings,1224.03,4,0.0,764.45,74.69,3
ORD-2024166,2023-06-16,North,Consumer,Furniture,Furnishings,428.94,7,0.0,504.08,34.54,5
ORD-2024167,2023-06-17,West,Home Office,Furniture,Chairs,255.81,9,0.0,492.48,16.62,4
ORD-2024168,2023-06-18,South,Home Office,Technology,Tablets,73.67,1,0.0,11.82,14.22,5
ORD-2024169,2023-06-19,East,Consumer,Office Supplies,Paper,287.14,1,0.5,-64.81,19.67,5
ORD-2024170,2023-06-20,West,Consumer,Office Supplies,Storage,38.25,4,0.5,5.26,13.8,4
ORD-2024171,2023-06-21,North,Consumer,Office Supplies,Paper,801.3,6,0.0,1347.81,48.91,4
ORD-2024172,2023-06-22,East,Home Office,Technology,Smartphones,502.29,6,0.5,151.04,36.51,4
ORD-2024173,2023-06-23,South,Consumer,Furniture,Chairs,28.71,5,0.2,15.53,5.72,4
ORD-2024174,2023-06-24,North,Corporate,Technology,Laptops,137.34,7,0.0,197.65,19.87,5
ORD-2024175,2023-06-25,East,Consumer,Technology,Smartphones,961.87,4,0.0,856.18,60.92,5
ORD-2024176,2023-06-26,West,Home Office,Office Supplies,Paper,1317.45,8,0.15,1467.34,77.33,5
ORD-2024177,2023-06-27,East,Consumer,Office Supplies,Storage,27.96,3,0.15,20.24,5.4,5
ORD-2024178,2023-06-28,West,Consumer,Office Supplies,Storage,125.45,7,0.0,304.43,18.34,4
ORD-2024179,2023-06-29,South,Consumer,Furniture,Bookcases,195.38,2,0.1,66.52,24.3,3
ORD-2024180,2023-06-30,East,Corporate,Office Supplies,Binders,619.68,4,0.1,724.83,44.47,3
ORD-2024181,2023-07-01,East,Consumer,Furniture,Bookcases,1666.37,2,0.2,388.68,88.47,4
ORD-2024182,2023-07-02,South,Home Office,Technology,Laptops,340.12,2,0.3,66.98,29.41,4
ORD-2024183,2023-07-03,East,Corporate,Technology,Smartphones,295.96,9,0.15,528.77,29.55,2
ORD-2024184,2023-07-04,East,Corporate,Technology,Accessories,57.48,8,0.1,94.23,13.74,3
ORD-2024185,2023-07-05,West,Home Office,Technology,Laptops,381.69,1,0.2,34.21,23.39,3
ORD-2024186,2023-07-06,South,Corporate,Technology,Smartphones,121.0,2,0.0,58.28,17.38,4
ORD-2024187,2023-07-07,South,Corporate,Office Supplies,Paper,173.29,3,0.5,6.05,15.02,4
ORD-2024188,2023-07-08,East,Corporate,Office Supplies,Binders,226.76,2,0.2,57.1,19.43,4
ORD-2024189,2023-07-09,North,Consumer,Office Supplies,Storage,99.15,8,0.0,163.07,17.74,4
ORD-2024190,2023-07-10,West,Consumer,Furniture,Furnishings,178.63,2,0.5,-26.94,23.23,2
ORD-2024191,2023-07-11,South,Consumer,Furniture,Tables,672.36,8,0.0,1302.88,35.68,3
ORD-2024192,2023-07-12,West,Consumer,Technology,Accessories,59.79,9,0.1,145.57,7.97,3
ORD-2024193,2023-07-13,South,Corporate,Technology,Tablets,958.91,1,0.15,77.97,52.04,3
ORD-2024194,2023-07-14,West,Consumer,Furniture,Tables,69.21,6,0.0,135.65,13.67,3
ORD-2024195,2023-07-15,West,Consumer,Office Supplies,Binders,1070.8,3,0.0,851.19,64.7,4
ORD-2024196,2023-07-16,South,Home Office,Technology,Smartphones,304.76,4,0.0,263.48,20.07,4
ORD-2024197,2023-07-17,West,Consumer,Office Supplies,Paper,230.76,5,0.0,306.66,15.36,1
ORD-2024198,2023-07-18,East,Corporate,Technology,Smartphones,22.22,1,0.2,1.44,5.39,2
ORD-2024199,2023-07-19,South,Consumer,Furniture,Chairs,130.04,6,0.0,193.6,12.61,4
ORD-2024200,2023-07-20,East,Consumer,Furniture,Bookcases,1370.3,1,0.0,437.26,83.49,4
ORD-2024201,2023-07-21,North,Consumer,Technology,Smartphones,157.16,5,0.2,109.16,22.76,5
ORD-2024202,2023-07-22,East,Home Office,Furniture,Furnishings,318.58,2,0.15,134.89,30.73,4
ORD-2024203,2023-07-23,West,Corporate,Technology,Tablets,356.66,2,0.1,137.99,21.31,4
ORD-2024204,2023-07-24,South,Corporate,Office Supplies,Storage,171.17,7,0.15,223.65,13.69,4
ORD-2024205,2023-07-25,East,Consumer,Furniture,Chairs,307.15,8,0.0,442.18,21.85,4
ORD-2024206,2023-07-26,East,Home Office,Technology,Smartphones,123.17,8,0.1,235.24,19.48,4
ORD-2024207,2023-07-27,East,Consumer,Furniture,Tables,550.63,2,0.15,93.27,41.37,5
ORD-2024208,2023-07-28,East,Consumer,Technology,Smartphones,99.85,4,0.2,51.78,11.61,2
ORD-2024209,2023-07-29,West,Home Office,Furniture,Bookcases,259.76,9,0.0,497.41,16.86,3
ORD-2024210,2023-07-30,North,Consumer,Office Supplies,Paper,162.95,4,0.0,200.11,16.55,4
ORD-2024211,2023-07-31,West,Home Office,Office Supplies,Storage,143.59,5,0.3,125.15,18.36,5
ORD-2024212,2023-08-01,East,Corporate,Furniture,Furnishings,217.17,8,0.1,436.38,23.2,5
ORD-2024213,2023-08-02,West,Consumer,Furniture,Chairs,384.23,9,0.0,753.76,22.65,2
ORD-2024214,2023-08-03,South,Home Office,Technology,Laptops,221.19,5,0.2,209.83,16.99,3
ORD-2024215,2023-08-04,South,Consumer,Furniture,Furnishings,238.24,3,0.0,156.86,19.85,3
ORD-2024216,2023-08-05,South,Consumer,Office Supplies,Storage,313.6,1,0.15,15.12,26.63,5
ORD-2024217,2023-08-06,East,Consumer,Furniture,Bookcases,421.33,1,0.0,140.87,31.63,4
ORD-2024218,2023-08-07,North,Corporate,Furniture,Bookcases,198.13,3,0.3,48.63,21.07,2
ORD-2024219,2023-08-08,West,Consumer,Office Supplies,Storage,247.29,7,0.0,269.62,26.35,4
ORD-2024220,2023-08-09,South,Consumer,Technology,Accessories,150.38,9,0.0,325.73,22.39,4
ORD-2024221,2023-08-10,South,Corporate,Furniture,Bookcases,117.4,2,0.2,37.25,10.6,2
ORD-2024222,2023-08-11,North,Consumer,Office Supplies,Binders,568.78,2,0.1,148.54,36.36,4
ORD-2024223,2023-08-12,South,Home Office,Technology,Laptops,1119.43,9,0.5,989.97,66.6,4
ORD-2024224,2023-08-13,East,Corporate,Office Supplies,Paper,224.55,4,0.1,174.64,26.22,5
ORD-2024225,2023-08-14,North,Home Office,Office Supplies,Storage,1664.97,6,0.1,2950.87,85.45,5
ORD-2024226,2023-08-15,North,Corporate,Technology,Smartphones,145.29,8,0.0,272.65,15.63,4
ORD-2024227,2023-08-16,South,Corporate,Furniture,Bookcases,320.41,1,0.1,58.31,25.85,4
ORD-2024228,2023-08-17,South,Consumer,Furniture,Tables,21.15,5,0.0,31.2,8.1,5
ORD-2024229,2023-08-18,West,Home Office,Furniture,Furnishings,313.67,6,0.0,348.58,18.6,4
ORD-2024230,2023-08-19,East,Consumer,Technology,Accessories,1123.92,1,0.1,222.58,58.4,3
ORD-2024231,2023-08-20,South,Consumer,Technology,Accessories,72.01,6,0.1,67.9,8.19,3
ORD-2024232,2023-08-21,West,Consumer,Technology,Tablets,689.36,6,0.3,536.73,46.35,4
ORD-2024233,2023-08-22,West,Consumer,Furniture,Chairs,186.12,1,0.15,20.08,18.72,4
ORD-2024234,2023-08-23,South,Consumer,Technology,Laptops,120.73,5,0.0,164.06,20.79,3
ORD-2024235,2023-08-24,West,Corporate,Office Supplies,Binders,193.38,3,0.1,87.54,24.15,5
ORD-2024236,2023-08-25,North,Consumer,Office Supplies,Paper,32.92,3,0.1,21.38,16.16,5
ORD-2024237,2023-08-26,North,Consumer,Technology,Accessories,101.34,3,0.0,101.76,7.71,5
ORD-2024238,2023-08-27,North,Home Office,Furniture,Tables,496.99,1,0.0,126.39,33.01,4
ORD-2024239,2023-08-28,West,Home Office,Office Supplies,Appliances,606.61,9,0.1,1374.13,38.52,4
ORD-2024240,2023-08-29,North,Consumer,Furniture,Furnishings,669.98,7,0.1,886.8,37.92,4
ORD-2024241,2023-08-30,North,Consumer,Furniture,Bookcases,333.18,6,0.0,444.37,22.21,4
ORD-2024242,2023-08-31,West,Home Office,Office Supplies,Binders,558.67,7,0.0,651.32,31.74,4
ORD-2024243,2023-09-01,East,Corporate,Technology,Accessories,74.44,5,0.0,59.51,15.98,1
ORD-2024244,2023-09-02,North,Consumer,Technology,Accessories,209.6,8,0.0,450.23,14.32,1
ORD-2024245,2023-09-03,South,Consumer,Technology,Tablets,77.47,5,0.0,132.09,8.65,5
ORD-2024246,2023-09-04,South,Corporate,Technology,Accessories,169.21,5,0.0,254.4,11.55,1
ORD-2024247,2023-09-05,North,Consumer,Office Supplies,Appliances,265.96,8,0.0,466.84,17.39,4
ORD-2024248,2023-09-06,East,Consumer,Office Supplies,Paper,595.01,3,0.15,271.87,40.15,1
ORD-2024249,2023-09-07,South,Home Office,Furniture,Tables,115.33,8,0.15,138.52,15.86,2
ORD-2024250,2023-09-08,East,Consumer,Technology,Tablets,2389.63,5,0.3,1763.1,123.79,5
ORD-2024251,2023-09-09,East,Consumer,Furniture,Furnishings,989.45,7,0.5,690.49,52.84,3
ORD-2024252,2023-09-10,South,Consumer,Technology,Tablets,201.76,2,0.0,64.47,19.62,5
ORD-2024253,2023-09-11,East,Home Office,Furniture,Bookcases,138.73,2,0.0,71.61,11.55,5
ORD-2024254,2023-09-12,South,Consumer,Technology,Tablets,1464.62,6,0.0,2036.36,79.77,3
ORD-2024255,2023-09-13,East,Consumer,Technology,Smartphones,28.98,8,0.0,65.46,6.37,5
ORD-2024256,2023-09-14,West,Consumer,Office Supplies,Paper,299.19,3,0.1,241.93,28.96,4
ORD-2024257,2023-09-15,South,Corporate,Furniture,Bookcases,263.85,6,0.0,245.73,21.96,3
ORD-2024258,2023-09-16,South,Corporate,Furniture,Tables,156.28,5,0.2,78.11,18.83,1
ORD-2024259,2023-09-17,North,Consumer,Furniture,Bookcases,617.57,5,0.0,1051.54,38.25,3
ORD-2024260,2023-09-18,East,Corporate,Office Supplies,Storage,223.99,9,0.0,684.3,19.23,5
ORD-2024261,2023-09-19,North,Corporate,Office Supplies,Storage,118.67,2,0.0,38.33,17.51,4
ORD-2024262,2023-09-20,West,Consumer,Office Supplies,Storage,733.09,2,0.2,133.81,50.96,3
ORD-2024263,2023-09-21,North,Consumer,Technology,Smartphones,270.29,6,0.1,420.19,26.19,3
