Customer_ID,Age,Gender,Location_Type,Recency_Days,Frequency_Orders,Monetary_Spend
CUST-1051,59,Male,Suburban,37,5,694.15
CUST-1052,54,Male,Urban,21,8,669.83
CUST-1053,18,Male,Urban,25,15,4771.15
CUST-1054,18,Female,Suburban,336,5,1145.92
CUST-1055,33,Male,Urban,37,8,712.99
CUST-1056,47,Female,Suburban,35,5,1189.94
CUST-1057,56,Male,Urban,339,4,2408.46
CUST-1058,53,Male,Urban,185,3,1670.88
CUST-1059,62,Male,Urban,249,5,2141.71
CUST-1060,29,Male,Suburban,52,8,1351.13
CUST-1061,18,Female,Rural,13,19,1852.72
CUST-1062,19,Male,Suburban,35,11,1062.48
CUST-1063,27,Male,Suburban,13,5,1436.08
CUST-1064,62,Female,Urban,45,5,1108.17
CUST-1065,41,Female,Rural,27,4,1531.7
CUST-1066,41,Female,Suburban,22,10,1505.45
CUST-1067,58,Male,Suburban,34,9,957.16
CUST-1068,36,Male,Urban,115,1,161.76
CUST-1069,31,Female,Urban,25,8,710.04
CUST-1070,29,Male,Suburban,240,3,904.24
CUST-1071,59,Female,Rural,3,18,3970.41
CUST-1072,64,Male,Suburban,342,8,851.39
CUST-1073,30,Male,Urban,44,1,79.69
CUST-1074,36,Female,Rural,110,1,257.16
CUST-1075,53,Male,Urban,271,9,1463.6
CUST-1076,43,Male,Urban,59,7,1285.77
CUST-1077,37,Male,Urban,90,5,1750.06
CUST-1078,66,Male,Suburban,53,8,1763.85
CUST-1079,64,Female,Suburban,59,1,233.08
CUST-1080,58,Male,Urban,93,2,184.47
CUST-1081,40,Male,Urban,141,1,147.08
CUST-1082,45,Female,Urban,37,7,1032.41
CUST-1083,53,Female,Suburban,42,8,1576.55
CUST-1084,45,Male,Urban,6,12,3646.95
CUST-1085,19,Male,Rural,94,9,1440.26
CUST-1086,18,Female,Rural,35,10,1071.59
CUST-1087,44,Female,Urban,1,23,1763.76
CUST-1088,45,Female,Rural,62,1,304.14
CUST-1089,27,Female,Urban,55,4,1744.86
CUST-1090,30,Male,Rural,123,6,1183.61
CUST-1091,56,Female,Suburban,357,3,1693.43
CUST-1092,22,Male,Suburban,344,9,1456.96
CUST-1093,54,Female,Suburban,47,11,617.45
CUST-1094,55,Female,Suburban,338,8,1511.64
CUST-1095,32,Male,Suburban,172,1,101.48
CUST-1096,34,Female,Urban,43,9,1191.14
CUST-1097,30,Male,Suburban,56,4,1152.14
CUST-1098,33,Male,Urban,273,3,2314.22
CUST-1099,20,Female,Rural,140,5,2179.22
CUST-1100,35,Male,Urban,1,12,3112.73
CUST-1101,43,Female,Urban,36,4,710.75
CUST-1102,64,Female,Urban,102,1,50.91
CUST-1103,53,Female,Suburban,15,22,2796.65
CUST-1104,39,Male,Suburban,11,8,674.81
CUST-1105,68,Female,Rural,56,7,728.61
CUST-1106,55,Female,Urban,46,7,624.09
CUST-1107,34,Male,Urban,17,20,3577.57
CUST-1108,21,Male,Suburban,45,10,1484.19
CUST-1109,64,Female,Urban,9,12,2770.79
CUST-1110,43,Female,Urban,15,8,1720.43
CUST-1111,39,Male,Urban,39,6,705.47
CUST-1112,47,Male,Rural,19,15,3939.37
CUST-1113,41,Male,Urban,43,3,335.98
CUST-1114,66,Female,Suburban,118,3,250.06
CUST-1115,68,Female,Urban,107,3,119.83
CUST-1116,37,Male,Urban,127,7,1610.99
CUST-1117,53,Male,Suburban,19,8,676.05
CUST-1118,61,Male,Suburban,5,16,4160.8
CUST-1119,28,Male,Suburban,184,3,2231.31
CUST-1120,61,Male,Rural,115,3,73.27
CUST-1121,57,Female,Urban,356,3,2050.9
CUST-1122,47,Female,Urban,23,5,1689.44
CUST-1123,42,Female,Urban,78,2,364.88
CUST-1124,55,Female,Urban,234,3,1404.67
CUST-1125,19,Female,Rural,287,8,1299.07
CUST-1126,68,Male,Urban,246,3,1660.23
CUST-1127,56,Female,Rural,343,6,1725.8
CUST-1128,27,Female,Suburban,13,22,4462.58
CUST-1129,41,Female,Suburban,38,10,1090.75
CUST-1130,62,Female,Suburban,158,6,1026.88
CUST-1131,27,Male,Urban,35,9,1337.94
CUST-1132,43,Female,Suburban,200,6,1767.33
CUST-1133,61,Female,Suburban,111,3,103.39
CUST-1134,45,Male,Urban,14,15,4441.54
CUST-1135,28,Male,Urban,149,2,343.12
CUST-1136,18,Female,Suburban,238,9,798.57
CUST-1137,26,Male,Suburban,152,6,1667.31
CUST-1138,28,Female,Urban,36,4,1304.48
CUST-1139,61,Female,Urban,269,8,760.98
CUST-1140,50,Male,Suburban,245,4,1894.37
CUST-1141,24,Female,Urban,152,7,1032.03
CUST-1142,24,Female,Urban,300,8,1069.25
CUST-1143,46,Female,Urban,58,2,152.92
CUST-1144,68,Male,Suburban,59,9,1271.57
CUST-1145,21,Male,Rural,71,2,144.76
CUST-1146,63,Female,Suburban,71,2,353.45
CUST-1147,25,Male,Urban,17,9,1007.13
CUST-1148,54,Male,Suburban,43,6,891.81
CUST-1149,31,Female,Suburban,94,2,54.55
CUST-1150,24,Female,Suburban,19,11,3750.24
CUST-1151,35,Female,Suburban,51,10,1055.63
CUST-1152,40,Male,Suburban,39,4,1123.35
CUST-1153,61,Male,Rural,170,4,1718.4
CUST-1154,63,Male,Urban,26,9,1490.02
CUST-1155,19,Female,Urban,11,21,4945.41
CUST-1156,46,Male,Urban,18,17,3517.81
CUST-1157,55,Male,Urban,21,10,727.89
CUST-1158,39,Male,Rural,137,1,282.76
CUST-1159,24,Female,Suburban,55,11,1024.65
CUST-1160,60,Male,Urban,118,7,2206.74
CUST-1161,28,Male,Suburban,44,9,1171.26
CUST-1162,64,Female,Urban,45,10,914.72
CUST-1163,52,Female,Suburban,112,1,173.04
CUST-1164,18,Female,Suburban,48,6,1582.92
CUST-1165,54,Male,Rural,12,12,1820.54
CUST-1166,66,Male,Rural,56,7,1250.28
CUST-1167,41,Female,Suburban,287,3,2326.05
CUST-1168,29,Male,Rural,86,2,255.89
CUST-1169,34,Male,Suburban,53,3,294.1
CUST-1170,26,Male,Urban,38,5,1494.08
CUST-1171,69,Female,Urban,56,2,258.69
CUST-1172,52,Female,Urban,147,3,160.35
CUST-1173,66,Female,Suburban,250,7,1808.55
CUST-1174,19,Male,Rural,23,20,3351.28
CUST-1175,49,Female,Urban,29,24,2906.76
CUST-1176,61,Female,Rural,49,2,196.22
CUST-1177,56,Female,Suburban,13,21,2539.51
CUST-1178,67,Male,Urban,1,21,1657.85
CUST-1179,32,Male,Suburban,46,8,910.78
CUST-1180,23,Female,Rural,151,7,2480.53
CUST-1181,24,Female,Urban,102,2,262.71
CUST-1182,62,Male,Urban,50,4,1748.72
CUST-1183,23,Female,Suburban,18,6,1316.73
CUST-1184,66,Male,Urban,151,3,977.01
CUST-1185,49,Male,Suburban,178,3,2310.86
CUST-1186,54,Male,Rural,37,8,1666.5
CUST-1187,42,Female,Urban,34,8,1482.26
CUST-1188,51,Male,Urban,14,11,1195.05
CUST-1189,23,Female,Urban,120,2,223.3
CUST-1190,49,Female,Rural,129,4,1678.8
CUST-1191,30,Male,Rural,257,6,2231.05
CUST-1192,65,Female,Suburban,259,6,1813.5
CUST-1193,55,Male,Rural,70,3,51.8
CUST-1194,49,Male,Suburban,4,9,4412.47
CUST-1195,46,Male,Urban,27,24,3459.46
CUST-1196,57,Male,Suburban,44,11,728.38
CUST-1197,47,Male,Urban,99,3,376.21
CUST-1198,46,Female,Urban,308,3,2087.77
CUST-1199,34,Female,Urban,299,4,2482.27
CUST-1200,64,Female,Suburban,29,19,1586.05
CUST-1201,28,Female,Urban,97,3,206.07
CUST-1202,63,Male,Rural,9,14,3344.58
CUST-1203,46,Female,Urban,14,18,2456.41
CUST-1204,34,Female,Urban,173,8,2068.17
CUST-1205,22,Female,Urban,54,2,124.59
CUST-1206,66,Female,Urban,66,2,121.3
CUST-1207,46,Female,Suburban,170,1,95.94
CUST-1208,41,Female,Suburban,242,8,911.15
CUST-1209,34,Female,Urban,303,8,1286.67
CUST-1210,19,Female,Urban,17,8,686.94
CUST-1211,35,Male,Suburban,54,4,1632.15
CUST-1212,55,Female,Suburban,130,3,885.03
CUST-1213,63,Male,Urban,237,3,1707.37
CUST-1214,49,Female,Urban,50,8,699.01
CUST-1215,30,Male,Urban,7,21,3926.18
CUST-1216,32,Male,Urban,11,10,4636.77
CUST-1217,26,Female,Urban,59,7,1645.16
CUST-1218,67,Female,Suburban,96,5,2310.67
CUST-1219,21,Female,Suburban,50,7,1477.91
CUST-1220,28,Female,Suburban,114,7,1808.34
CUST-1221,36,Female,Urban,23,19,3443.77
CUST-1222,35,Female,Urban,12,7,839.45
CUST-1223,52,Male,Urban,16,7,809.03
CUST-1224,38,Female,Suburban,13,7,1045.25
CUST-1225,37,Female,Suburban,50,7,635.27
CUST-1226,51,Female,Rural,45,3,146.89
CUST-1227,68,Male,Urban,27,11,1603.2
CUST-1228,50,Male,Suburban,126,2,133.14
CUST-1229,31,Female,Urban,9,22,3575.21
CUST-1230,56,Male,Suburban,27,9,4502.95
CUST-1231,22,Male,Suburban,13,22,2321.36
CUST-1232,27,Male,Urban,19,7,1594.66
CUST-1233,18,Male,Suburban,96,2,108.67
CUST-1234,60,Female,Suburban,58,11,1566.8
CUST-1235,45,Female,Suburban,29,5,1784.03
CUST-1236,26,Female,Rural,23,10,3082.7
CUST-1237,22,Male,Suburban,270,4,2437.21
CUST-1238,60,Male,Urban,78,3,138.98
CUST-1239,60,Female,Suburban,13,23,4789.37
CUST-1240,25,Female,Urban,94,9,1018.87
CUST-1241,51,Female,Rural,39,5,892.98
CUST-1242,43,Female,Suburban,8,21,4715.37
CUST-1243,18,Male,Suburban,14,4,727.91
CUST-1244,45,Male,Suburban,42,4,1792.0
CUST-1245,30,Female,Suburban,187,7,2077.34
CUST-1246,21,Female,Suburban,218,8,1680.08
CUST-1247,42,Male,Suburban,232,7,1384.76
CUST-1248,46,Male,Urban,53,9,687.84
CUST-1249,52,Male,Suburban,354,5,1676.25
