Title,Price_GBP,Rating_Stars,In_Stock,Availability,Source_Url
Black Dust,34.53,5,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Birdsong: A Story in Pictures,54.64,3,True,In stock,http://books.toscrape.com/catalogue/page-2.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Aladdin and His Wonderful Lamp,53.13,3,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Wall and Piece,44.18,4,True,In stock,http://books.toscrape.com/catalogue/page-2.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,In stock,http://books.toscrape.com/catalogue/page-2.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,In stock,http://books.toscrape.com/catalogue/page-2.html
The Elephant Tree,23.82,5,True,In stock,http://books.toscrape.com/catalogue/page-2.html
The Bear and the Piano,36.89,1,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Sophie's World,15.94,5,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Penny Maybe,33.29,3,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Maude (1883-1993):She Grew Up with the country,18.02,2,True,In stock,http://books.toscrape.com/catalogue/page-2.html
"In a Dark, Dark Wood",19.63,1,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Behind Closed Doors,52.22,4,True,In stock,http://books.toscrape.com/catalogue/page-2.html
You can't bury them all: Poems,33.63,2,True,In stock,http://books.toscrape.com/catalogue/page-2.html
Slow States of Collapse: Poems,57.31,3,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Reasons to Stay Alive,26.41,2,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Private Paris (Private #10),47.61,5,True,In stock,http://books.toscrape.com/catalogue/page-3.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Without Borders (Wanderlove #1),45.07,2,True,In stock,http://books.toscrape.com/catalogue/page-3.html
When We Collided,31.77,1,True,In stock,http://books.toscrape.com/catalogue/page-3.html
"We Love You, Charlie Freeman",50.27,5,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Untitled Collection: Sabbath Poems 2014,14.27,4,True,In stock,http://books.toscrape.com/catalogue/page-3.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Unicorn Tracks,18.78,3,True,In stock,http://books.toscrape.com/catalogue/page-3.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,In stock,http://books.toscrape.com/catalogue/page-3.html
This One Summer,19.49,4,True,In stock,http://books.toscrape.com/catalogue/page-3.html
Thirst,17.27,5,True,In stock,http://books.toscrape.com/catalogue/page-3.html
The Torch Is Passed: A Harding Family Story,19.09,1,True,In stock,http://books.toscrape.com/catalogue/page-3.html
The Secret of Dreadwillow Carse,56.13,1,True,In stock,http://books.toscrape.com/catalogue/page-3.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True,In stock,http://books.toscrape.com/catalogue/page-3.html
The Past Never Ends,56.5,4,True,In stock,http://books.toscrape.com/catalogue/page-3.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True,In stock,http://books.toscrape.com/catalogue/page-3.html
