Transaction_Id,Customer_Id,Customer_Age,Gender,Product_Category,Purchase_Amount,Payment_Method,Transaction_Date,Satisfaction_Score
TXN-1097,CUST-125,25,Female,Electronics,150.5,Paypal,2023-03-10,3
TXN-1098,CUST-111,30,Female,Electronics,89.99,Credit Card,2023-01-15,5
TXN-1099,CUST-101,30,Female,Electronics,45.0,Cash,2023-01-15,3
TXN-1100,CUST-109,45,Male,Electronics,150.5,Credit Card,2023-02-20,3
TXN-1101,CUST-129,19,Female,Clothing,150.5,Cash,2023-02-20,3
TXN-1102,CUST-103,19,Female,Clothing,1200.0,Unknown,2023-01-15,3
TXN-1103,CUST-113,45,Female,Clothing,89.99,Paypal,2023-01-15,3
TXN-1104,CUST-115,45,Male,Clothing,45.0,Credit Card,2023-01-15,3
TXN-1105,CUST-114,45,Unknown,Unknown,299.99,Credit Card,2023-01-15,3
TXN-1106,CUST-107,19,Unknown,Home & Kitchen,299.99,Unknown,2023-01-15,3
TXN-1107,CUST-113,30,Female,Electronics,45.0,Unknown,2023-01-15,2
TXN-1108,CUST-122,19,Male,Clothing,89.99,Credit Card,2023-01-15,4
TXN-1109,CUST-127,30,Female,Electronics,1200.0,Paypal,2023-01-15,3
TXN-1110,CUST-124,25,Female,Electronics,45.0,Paypal,2023-01-15,3
TXN-1111,CUST-129,30,Female,Electronics,150.5,Cash,2023-01-15,5
TXN-1112,CUST-107,30,Unknown,Unknown,150.5,Credit Card,2023-03-10,1
TXN-1113,CUST-120,34,Male,Electronics,299.99,Credit Card,2023-01-15,4
TXN-1114,CUST-115,30,Male,Electronics,150.5,Credit Card,2023-02-20,3
TXN-1115,CUST-112,25,Female,Clothing,1200.0,Credit Card,2023-01-15,3
TXN-1116,CUST-117,30,Unknown,Electronics,299.99,Paypal,2023-01-15,3
TXN-1117,CUST-114,30,Female,Electronics,150.5,Paypal,2023-01-15,4
TXN-1118,CUST-120,34,Unknown,Electronics,150.5,Credit Card,2023-01-15,5
TXN-1119,CUST-123,30,Female,Home & Kitchen,150.5,Cash,2023-02-20,3
TXN-1120,CUST-125,45,Female,Electronics,89.99,Credit Card,2023-02-20,1
TXN-1121,CUST-124,30,Unknown,Electronics,150.5,Credit Card,2023-01-15,1
TXN-1122,CUST-127,30,Male,Electronics,89.99,Cash,2023-03-10,5
TXN-1123,CUST-127,19,Female,Unknown,150.5,Credit Card,2023-01-15,5
TXN-1124,CUST-127,25,Female,Clothing,45.0,Paypal,2023-01-15,3
TXN-1125,CUST-112,34,Unknown,Electronics,150.5,Credit Card,2023-03-10,3
TXN-1126,CUST-108,25,Unknown,Clothing,150.5,Unknown,2023-03-10,1
TXN-1127,CUST-128,52,Male,Electronics,1200.0,Unknown,2023-02-20,3
TXN-1128,CUST-114,52,Female,Clothing,150.5,Cash,2023-03-10,4
TXN-1129,CUST-112,30,Female,Electronics,89.99,Credit Card,2023-01-15,3
TXN-1130,CUST-100,30,Male,Clothing,150.5,Credit Card,2023-01-15,2
TXN-1131,CUST-124,30,Female,Clothing,150.5,Credit Card,2023-01-15,2
TXN-1132,CUST-106,45,Female,Electronics,150.5,Credit Card,2023-01-15,5
TXN-1133,CUST-108,45,Female,Clothing,150.5,Cash,2023-01-15,3
TXN-1134,CUST-123,45,Female,Clothing,1200.0,Cash,2023-02-20,2
TXN-1135,CUST-100,19,Female,Electronics,150.5,Unknown,2023-01-15,1
TXN-1136,CUST-111,30,Female,Clothing,1200.0,Credit Card,2023-01-15,3
TXN-1137,CUST-107,30,Unknown,Electronics,299.99,Unknown,2023-01-15,3
TXN-1138,CUST-123,30,Female,Clothing,150.5,Credit Card,2023-02-20,5
TXN-1139,CUST-110,25,Female,Electronics,150.5,Unknown,2023-01-15,3
TXN-1140,CUST-118,30,Unknown,Electronics,150.5,Paypal,2023-02-20,3
TXN-1141,CUST-116,19,Male,Electronics,150.5,Paypal,2023-01-15,4
TXN-1142,CUST-107,25,Female,Electronics,89.99,Paypal,2023-03-10,5
TXN-1143,CUST-102,30,Female,Clothing,150.5,Paypal,2023-01-15,4
TXN-1144,CUST-102,19,Female,Electronics,1200.0,Credit Card,2023-01-15,3
TXN-1145,CUST-100,30,Female,Electronics,150.5,Paypal,2023-01-15,5
TXN-1146,CUST-126,30,Female,Unknown,45.0,Cash,2023-01-15,5
TXN-1147,CUST-104,19,Unknown,Unknown,150.5,Cash,2023-03-10,5
TXN-1148,CUST-109,45,Male,Home & Kitchen,150.5,Credit Card,2023-02-20,3
TXN-1149,CUST-106,30,Male,Clothing,150.5,Paypal,2023-03-10,4
