Transaction_ID,Customer_ID,Customer_Age,Gender,Product_Category,Purchase_Amount,Payment_Method,Transaction_Date,Satisfaction_Score
TXN-1034,CUST-128,-5,M,ELECTRONICS,,Cash,,1.0
TXN-1035,CUST-111,34,Female,Clothing,,,2023-02-20,3.0
TXN-1036,CUST-124,30, female ,elec,$45.00,Cash,INVALID_DATE,10.0
TXN-1037,CUST-116,52,,ELECTRONICS,INVALID,,2023-01-15,
TXN-1038,CUST-126,-5,Male,clothing ,$150.50,,15/01/2023,10.0
TXN-1039,CUST-126,19,F,Home & Kitchen,INVALID,PayPal,2023-03-10,3.0
TXN-1040,CUST-109,,Male,Electronics,$45.00,,2023-01-15,
TXN-1041,CUST-127,30, female ,clothing ,,credit card,2023-01-15,10.0
TXN-1042,CUST-127,,F,Home & Kitchen,INVALID,PayPal,2023-02-20,1.0
TXN-1043,CUST-115,25, female ,Clothing,,,INVALID_DATE,5.0
TXN-1044,CUST-114,25,M,clothing ,89.99,Credit Card,2023-03-10,
TXN-1045,CUST-129,30,F,,$150.50,credit card,,4.0
TXN-1046,CUST-129,30,M,Electronics,89.99,credit card,,4.0
TXN-1047,CUST-114,19,Male,Home & Kitchen,,credit card,15/01/2023,2.0
TXN-1048,CUST-129,30,Male,Home & Kitchen,,PayPal,2023-03-10,
TXN-1049,CUST-118,45,F,Home & Kitchen,299.99,,,5.0
TXN-1050,CUST-111,,F,Clothing,299.99,,15/01/2023,3.0
TXN-1051,CUST-122,-5,,clothing ,89.99,Credit Card,INVALID_DATE,1.0
TXN-1052,CUST-119,120, female ,Clothing,$1200.00,Credit Card,15/01/2023,2.0
TXN-1053,CUST-124,30,,elec,89.99,credit card,,4.0
TXN-1054,CUST-102,52, female ,elec,299.99,Credit Card,2023-02-20,3.0
TXN-1055,CUST-104,25,,clothing ,,PayPal,2023-02-20,3.0
TXN-1056,CUST-118,45,M,,$45.00,,2023-02-20,1.0
TXN-1057,CUST-106,120,F,Clothing,89.99,credit card,,
TXN-1058,CUST-120,-5,Male,Electronics,,Credit Card,2023-02-20,4.0
TXN-1059,CUST-108,120, female ,Home & Kitchen,$45.00,PayPal,2023-03-10,5.0
TXN-1060,CUST-106,30, female ,Home & Kitchen,$45.00,PayPal,INVALID_DATE,3.0
TXN-1061,CUST-117,19,Male,clothing ,299.99,Credit Card,15/01/2023,1.0
TXN-1062,CUST-103,25,,,89.99,,15/01/2023,5.0
TXN-1063,CUST-124,25, female ,elec,INVALID,Credit Card,,
TXN-1064,CUST-127,19,M,elec,$150.50,credit card,2023-02-20,4.0
TXN-1065,CUST-113,,F,Home & Kitchen,299.99,Credit Card,2023-02-20,
TXN-1066,CUST-117,34,Male,clothing ,299.99,PayPal,2023-01-15,3.0
TXN-1067,CUST-125,45,F,Clothing,INVALID,Credit Card,INVALID_DATE,5.0
TXN-1068,CUST-108,25, female ,elec,$150.50,,2023-03-10,5.0
TXN-1069,CUST-125,52, female ,Clothing,,Cash,15/01/2023,5.0
TXN-1070,CUST-120,25,Male,,$1200.00,Credit Card,2023-01-15,3.0
TXN-1071,CUST-101,120,M,elec,89.99,,2023-01-15,3.0
TXN-1072,CUST-119,25,Female,elec,$1200.00,,,
TXN-1073,CUST-127,25,Male,ELECTRONICS,,PayPal,15/01/2023,2.0
TXN-1074,CUST-114,34,Female,elec,299.99,,,
TXN-1075,CUST-127,34,,Electronics,$150.50,,2023-03-10,4.0
TXN-1076,CUST-106,-5,Female,clothing ,299.99,,2023-01-15,1.0
TXN-1077,CUST-111,,M,clothing ,$45.00,,2023-01-15,5.0
TXN-1078,CUST-128,52,,Clothing,299.99,credit card,INVALID_DATE,2.0
TXN-1079,CUST-107,25,Female,,299.99,credit card,2023-03-10,1.0
TXN-1080,CUST-114,25,,elec,,PayPal,2023-01-15,2.0
TXN-1081,CUST-102,45,Female,Electronics,,Credit Card,2023-03-10,10.0
TXN-1082,CUST-113,34,M,Clothing,,,15/01/2023,
TXN-1083,CUST-116,52,Female,ELECTRONICS,$1200.00,Credit Card,2023-02-20,3.0
TXN-1084,CUST-103,-5,Female,Clothing,$45.00,Credit Card,2023-01-15,5.0
TXN-1085,CUST-117,,Female,Clothing,,PayPal,INVALID_DATE,
TXN-1086,CUST-107,19,Male,elec,$150.50,,15/01/2023,1.0
TXN-1087,CUST-103,,Male,ELECTRONICS,$1200.00,,2023-03-10,10.0
TXN-1088,CUST-101,120,Male,Clothing,INVALID,Cash,,10.0
TXN-1089,CUST-129,25,M,Electronics,$150.50,Credit Card,15/01/2023,10.0
TXN-1090,CUST-105,-5,,Electronics,89.99,Credit Card,2023-01-15,1.0
TXN-1091,CUST-121,120, female ,clothing ,89.99,credit card,2023-03-10,1.0
TXN-1092,CUST-109,52,Female,ELECTRONICS,$150.50,Cash,2023-02-20,1.0
TXN-1093,CUST-103,19,Female,ELECTRONICS,,credit card,15/01/2023,1.0
TXN-1094,CUST-121,34,M,clothing ,INVALID,credit card,2023-01-15,10.0
TXN-1095,CUST-128,-5,Female,Clothing,INVALID,credit card,INVALID_DATE,10.0
TXN-1096,CUST-117,-5,Male,ELECTRONICS,$1200.00,PayPal,,2.0
TXN-1097,CUST-125,25, female ,Electronics,INVALID,PayPal,2023-03-10,
TXN-1098,CUST-111,30,F,Electronics,89.99,credit card,15/01/2023,5.0
TXN-1099,CUST-101,-5,Female,elec,$45.00,Cash,15/01/2023,3.0
TXN-1100,CUST-109,45,Male,ELECTRONICS,,Credit Card,2023-02-20,10.0
TXN-1101,CUST-129,19,F,Clothing,INVALID,Cash,2023-02-20,3.0
TXN-1102,CUST-103,19, female ,clothing ,$1200.00,,INVALID_DATE,
TXN-1103,CUST-113,45,F,clothing ,89.99,PayPal,,
TXN-1104,CUST-115,45,Male,Clothing,$45.00,Credit Card,INVALID_DATE,3.0
TXN-1105,CUST-114,45,,,299.99,Credit Card,2023-01-15,10.0
TXN-1106,CUST-107,19,,Home & Kitchen,299.99,,2023-01-15,3.0
TXN-1107,CUST-113,,F,elec,$45.00,,INVALID_DATE,2.0
TXN-1108,CUST-122,19,M,clothing ,89.99,credit card,,4.0
TXN-1109,CUST-127,30,F,ELECTRONICS,$1200.00,PayPal,INVALID_DATE,10.0
TXN-1110,CUST-124,25,Female,elec,$45.00,PayPal,,10.0
TXN-1111,CUST-129,120,Female,ELECTRONICS,,Cash,,5.0
TXN-1112,CUST-107,,,,,credit card,2023-03-10,1.0
TXN-1113,CUST-120,34,M,Electronics,299.99,credit card,,4.0
TXN-1114,CUST-115,120,Male,elec,INVALID,credit card,2023-02-20,
TXN-1115,CUST-112,25,Female,clothing ,$1200.00,credit card,,10.0
TXN-1116,CUST-117,30,,elec,299.99,PayPal,,3.0
TXN-1117,CUST-114,30, female ,elec,INVALID,PayPal,,4.0
TXN-1118,CUST-120,34,,elec,INVALID,credit card,2023-01-15,5.0
TXN-1119,CUST-123,,Female,Home & Kitchen,,Cash,2023-02-20,
TXN-1120,CUST-125,45,Female,elec,89.99,Credit Card,2023-02-20,1.0
TXN-1121,CUST-124,,,ELECTRONICS,$150.50,Credit Card,INVALID_DATE,1.0
TXN-1122,CUST-127,30,Male,Electronics,89.99,Cash,2023-03-10,5.0
TXN-1123,CUST-127,19,F,,$150.50,credit card,,5.0
TXN-1124,CUST-127,25,Female,Clothing,$45.00,PayPal,15/01/2023,3.0
TXN-1125,CUST-112,34,,elec,,Credit Card,2023-03-10,10.0
TXN-1126,CUST-108,25,,clothing ,INVALID,,2023-03-10,1.0
TXN-1127,CUST-128,52,M,elec,$1200.00,,2023-02-20,
TXN-1128,CUST-114,52,F,clothing ,$150.50,Cash,2023-03-10,4.0
TXN-1129,CUST-112,, female ,ELECTRONICS,89.99,credit card,,
TXN-1130,CUST-100,30,Male,clothing ,INVALID,Credit Card,,2.0
TXN-1131,CUST-124,30, female ,Clothing,$150.50,credit card,2023-01-15,2.0
TXN-1132,CUST-106,45,F,Electronics,$150.50,Credit Card,,5.0
TXN-1133,CUST-108,45,F,clothing ,$150.50,Cash,,3.0
TXN-1134,CUST-123,45,F,clothing ,$1200.00,Cash,2023-02-20,2.0
TXN-1135,CUST-100,19, female ,Electronics,,,,1.0
TXN-1136,CUST-111,120,F,Clothing,$1200.00,credit card,2023-01-15,
TXN-1137,CUST-107,-5,,elec,299.99,,15/01/2023,
TXN-1138,CUST-123,120, female ,clothing ,INVALID,credit card,2023-02-20,5.0
TXN-1139,CUST-110,25,F,Electronics,,,15/01/2023,10.0
TXN-1140,CUST-118,120,,ELECTRONICS,,PayPal,2023-02-20,10.0
TXN-1141,CUST-116,19,M,Electronics,,PayPal,INVALID_DATE,4.0
TXN-1142,CUST-107,25,F,ELECTRONICS,89.99,PayPal,2023-03-10,5.0
TXN-1143,CUST-102,120, female ,Clothing,,PayPal,INVALID_DATE,4.0
TXN-1144,CUST-102,19,Female,elec,$1200.00,Credit Card,,10.0
TXN-1145,CUST-100,-5,F,Electronics,,PayPal,15/01/2023,5.0
TXN-1146,CUST-126,120,Female,,$45.00,Cash,,5.0
TXN-1147,CUST-104,19,,,INVALID,Cash,2023-03-10,5.0
TXN-1148,CUST-109,45,M,Home & Kitchen,,Credit Card,2023-02-20,10.0
TXN-1149,CUST-106,30,Male,clothing ,INVALID,PayPal,2023-03-10,4.0
TXN-1000,CUST-106,30,M,,INVALID,PayPal,2023-02-20,1.0
TXN-1001,CUST-119,,Male,ELECTRONICS,$150.50,PayPal,2023-02-20,4.0
TXN-1002,CUST-128,30, female ,Clothing,89.99,Cash,INVALID_DATE,1.0
TXN-1003,CUST-114,120,Female,elec,,Credit Card,15/01/2023,4.0
TXN-1004,CUST-110,34,,,89.99,credit card,INVALID_DATE,10.0
TXN-1005,CUST-107,25,Female,elec,$150.50,Credit Card,15/01/2023,1.0
TXN-1006,CUST-128,,Female,clothing ,$45.00,Credit Card,2023-02-20,2.0
TXN-1007,CUST-120,,,elec,$150.50,Credit Card,2023-02-20,
TXN-1008,CUST-106,120,M,clothing ,$1200.00,,INVALID_DATE,
TXN-1009,CUST-125,52, female ,Home & Kitchen,$150.50,PayPal,INVALID_DATE,5.0
